17	#ffdf59	DNA polymerase	DNA, RNA and nucleotide metabolism
192	#ffdf59	DNA polymerase exonuclease subunit	DNA, RNA and nucleotide metabolism
223	#ffdf59	DNA polymerase processivity factor	DNA, RNA and nucleotide metabolism
262	#ffdf59	DNA polymerase	DNA, RNA and nucleotide metabolism
403	#ffdf59	DNA polymerase exonuclease subunit	DNA, RNA and nucleotide metabolism
405	#ffdf59	DNA polymerase	DNA, RNA and nucleotide metabolism
947	#ffdf59	DNA polymerase processivity factor	DNA, RNA and nucleotide metabolism
1105	#ffdf59	DNA polymerase III theta subunit	DNA, RNA and nucleotide metabolism
1252	#ffdf59	DNA polymerase	DNA, RNA and nucleotide metabolism
1268	#ffdf59	DNA polymerase	DNA, RNA and nucleotide metabolism
1907	#ffdf59	DNA polymerase	DNA, RNA and nucleotide metabolism
1918	#ffdf59	DNA polymerase	DNA, RNA and nucleotide metabolism
2062	#ffdf59	DNA polymerase	DNA, RNA and nucleotide metabolism
2573	#ffdf59	DNA polymerase	DNA, RNA and nucleotide metabolism
2927	#ffdf59	DNA polymerase	DNA, RNA and nucleotide metabolism
3011	#ffdf59	DNA polymerase	DNA, RNA and nucleotide metabolism
4008	#ffdf59	DNA polymerase	DNA, RNA and nucleotide metabolism
4210	#ffdf59	DNA polymerase	DNA, RNA and nucleotide metabolism
5995	#ffdf59	DNA polymerase	DNA, RNA and nucleotide metabolism
6375	#ffdf59	DNA polymerase	DNA, RNA and nucleotide metabolism
6615	#ffdf59	DNA polymerase	DNA, RNA and nucleotide metabolism
6982	#ffdf59	DNA polymerase	DNA, RNA and nucleotide metabolism
7766	#ffdf59	DNA polymerase	DNA, RNA and nucleotide metabolism
8888	#ffdf59	DNA polymerase	DNA, RNA and nucleotide metabolism
9556	#ffdf59	DNA polymerase	DNA, RNA and nucleotide metabolism
10285	#ffdf59	DNA polymerase	DNA, RNA and nucleotide metabolism
10577	#ffdf59	DNA polymerase	DNA, RNA and nucleotide metabolism
11119	#ffdf59	DNA polymerase	DNA, RNA and nucleotide metabolism
11127	#ffdf59	DNA polymerase	DNA, RNA and nucleotide metabolism
11165	#ffdf59	DNA polymerase	DNA, RNA and nucleotide metabolism
11768	#ffdf59	DNA polymerase	DNA, RNA and nucleotide metabolism
11778	#ffdf59	DNA polymerase	DNA, RNA and nucleotide metabolism
11890	#ffdf59	DNA polymerase	DNA, RNA and nucleotide metabolism
12116	#ffdf59	DNA polymerase	DNA, RNA and nucleotide metabolism
12219	#ffdf59	DNA polymerase	DNA, RNA and nucleotide metabolism
12241	#ffdf59	DNA polymerase	DNA, RNA and nucleotide metabolism
13169	#ffdf59	DNA polymerase	DNA, RNA and nucleotide metabolism
13839	#ffdf59	DNA polymerase	DNA, RNA and nucleotide metabolism
14632	#ffdf59	DNA polymerase	DNA, RNA and nucleotide metabolism
14876	#ffdf59	DNA polymerase	DNA, RNA and nucleotide metabolism
15487	#ffdf59	DNA polymerase	DNA, RNA and nucleotide metabolism
15725	#ffdf59	DNA polymerase	DNA, RNA and nucleotide metabolism
15833	#ffdf59	DNA polymerase	DNA, RNA and nucleotide metabolism
15971	#ffdf59	DNA polymerase I	DNA, RNA and nucleotide metabolism
16667	#ffdf59	DNA polymerase I	DNA, RNA and nucleotide metabolism
18505	#ffdf59	DNA polymerase	DNA, RNA and nucleotide metabolism
20094	#ffdf59	DNA polymerase	DNA, RNA and nucleotide metabolism
20414	#ffdf59	DNA polymerase	DNA, RNA and nucleotide metabolism
20697	#ffdf59	DNA polymerase III theta subunit	DNA, RNA and nucleotide metabolism
21006	#ffdf59	DNA polymerase	DNA, RNA and nucleotide metabolism
21652	#ffdf59	DNA polymerase	DNA, RNA and nucleotide metabolism
22619	#ffdf59	DNA polymerase	DNA, RNA and nucleotide metabolism
22681	#ffdf59	DNA polymerase	DNA, RNA and nucleotide metabolism
23226	#ffdf59	DNA polymerase	DNA, RNA and nucleotide metabolism
24147	#ffdf59	DNA polymerase	DNA, RNA and nucleotide metabolism
24943	#ffdf59	DNA polymerase	DNA, RNA and nucleotide metabolism
27191	#ffdf59	DNA polymerase	DNA, RNA and nucleotide metabolism
27421	#ffdf59	DNA polymerase	DNA, RNA and nucleotide metabolism
27764	#ffdf59	DNA polymerase III theta subunit	DNA, RNA and nucleotide metabolism
30051	#ffdf59	DNA polymerase III theta subunit	DNA, RNA and nucleotide metabolism
30466	#ffdf59	DNA polymerase	DNA, RNA and nucleotide metabolism
30679	#ffdf59	DNA polymerase processivity factor	DNA, RNA and nucleotide metabolism
32752	#ffdf59	DNA polymerase	DNA, RNA and nucleotide metabolism
35406	#ffdf59	DNA polymerase	DNA, RNA and nucleotide metabolism
38876	#ffdf59	DNA polymerase exonuclease subunit	DNA, RNA and nucleotide metabolism
58379	#ffdf59	DNA polymerase	DNA, RNA and nucleotide metabolism
80264	#ffdf59	DNA polymerase	DNA, RNA and nucleotide metabolism
88032	#ffdf59	DNA polymerase	DNA, RNA and nucleotide metabolism
